order_id,order_date,customer_name,customer_email,city,product_name,category,quantity,unit_price,discount_pct,discount_amount,total_price,payment_method,status
ORD-0001,2026-01-30,Aryan Maharaj,udantdewan@example.net,Ludhiana,Mouse,Electronics,1,499,15,74.85,424.15,Credit Card,Completed
ORD-0002,2025-07-05,Pahal Balay,chandertejas@example.org,Mumbai,Keyboard,Electronics,1,999,15,149.85,849.15,Net Banking,Returned
ORD-0003,2025-12-09,Rushil Saini,saumyamall@example.org,Hyderabad,Laptop,Electronics,1,55000,0,0.0,55000.0,Credit Card,Pending
ORD-0004,2026-03-17,Pahal Oak,nachiket35@example.org,Kolkata,Laptop,Electronics,5,55000,0,0.0,275000.0,Credit Card,Returned
ORD-0005,2025-07-02,Gunbir Parmer,aishani07@example.net,Bangalore,Notebook,Stationery,1,120,20,24.0,96.0,Cash,Completed
ORD-0006,2025-07-14,Farhan Memon,rehaan10@example.net,Chennai,Notebook,Stationery,2,120,0,0.0,240.0,UPI,Completed
ORD-0007,2025-08-23,Fariq Kaul,raiarunima@example.com,CHENNAI,Monitor,Electronics,1,18000,0,0.0,18000.0,Net Banking,Completed
ORD-0008,2026-01-28,Nicholas Prabhakar,shaurya41@example.net,Mumbai,Laptop,Electronics,4,55000,10,5500.0,198000.0,Cash,Completed
ORD-0009,2026-01-28,Yash Gade,rraghavan@example.net,Chennai,Notebook,Stationery,5,120,20,24.0,480.0,Net Banking,Completed
ORD-0010,2026-02-18,Ekta Bhalla,azadmutti@example.com,Hyderabad,Mouse,Electronics,1,499,15,74.85,424.15,Debit Card,Completed
ORD-0011,2025-09-07,Siddharth Murty,xalakrandhawa@example.net,Ludhiana,Desk Chair,Furniture,1,8500,5,425.0,8075.0,Cash,Completed
ORD-0012,2025-11-21,Alka Dewan,adyasangha@example.net,Hyderabad,Keyboard,Electronics,3,999,0,0.0,2997.0,Debit Card,Completed
ORD-0013,2025-10-29,Theodore Devi,wchand@example.org,Hyderabad,Keyboard,Electronics,5,999,15,149.85,4245.75,Credit Card,Returned
ORD-0014,2026-04-26,Michael Dutta,ybhatt@example.com,Hyderabad,Monitor,Electronics,3,18000,15,2700.0,45900.0,Debit Card,Completed
ORD-0015,2026-01-13,Zayan Apte,yadavamara@example.net,Chennai,Desk Chair,Furniture,1,8500,20,1700.0,6800.0,Cash,Completed
ORD-0016,2025-10-06,Chaaya Saran,sudikshaaggarwal@example.net,Chennai,Mouse,Electronics,2,499,10,49.9,898.2,Credit Card,Returned
ORD-0017,2026-05-02,Xiti Gokhale,misrayashica@example.net,Ludhiana,Monitor,Electronics,4,18000,0,0.0,72000.0,Credit Card,Completed
ORD-0018,2025-08-12,Kashvi Edwin,naikvrinda@example.org,Kolkata,Notebook,Stationery,5,120,5,6.0,570.0,Debit Card,Completed
ORD-0019,2025-07-09,Damyanti Khatri,khoslafarhan@example.org,MUMBAI,Keyboard,Electronics,5,999,5,49.95,4745.25,UPI,Completed
ORD-0020,2026-03-07,Ekapad Walia,kabirsoman@example.net,Kolkata,Keyboard,Electronics,2,999,20,199.8,1598.4,Net Banking,Completed
ORD-0021,2025-07-30,Pallavi Kakar,devikarastogi@example.net,Pune,Monitor,Electronics,4,18000,10,1800.0,64800.0,Net Banking,Completed
ORD-0022,2026-02-03,Raksha Varughese,pdara@example.org,Ludhiana,Laptop,Electronics,1,55000,15,8250.0,46750.0,Debit Card,Completed
ORD-0023,2025-06-20,Ansh Karpe,abhimanyubobal@example.net,Pune,Notebook,Stationery,4,120,0,0.0,480.0,UPI,Completed
ORD-0024,2026-01-27,Veer Bir,narayananekavir@example.net,Ludhiana,Keyboard,Electronics,5,999,0,0.0,4995.0,Net Banking,Pending
ORD-0025,2025-08-27,Vedika Kala,urvashikibe@example.com,Bangalore,Desk Chair,Furniture,2,8500,0,0.0,17000.0,Net Banking,Pending
ORD-0026,2026-04-05,Ranveer Chandra,sankarirya@example.com,Pune,Laptop,Electronics,5,55000,0,0.0,275000.0,UPI,Completed
ORD-0027,2025-11-02,Chatura Chaudhari,rauharinakshi@example.org,Delhi,Pen Set,Stationery,3,250,0,0.0,750.0,Credit Card,Pending
ORD-0028,2025-08-31,Ranveer Yadav,bdey@example.org,Pune,Mouse,Electronics,1,499,15,74.85,424.15,UPI,Pending
ORD-0029,2025-09-12,Zaid Borra,dchaudhari@example.net,Pune,Keyboard,Electronics,2,999,15,149.85,1698.3,Net Banking,Completed
ORD-0030,2025-12-22,Girik Khalsa,niharikasunder@example.com,Kolkata,Notebook,Stationery,5,120,20,24.0,480.0,Credit Card,Pending
ORD-0031,2099-01-01,Daniel Gala,yagate@example.com,Chennai,Desk Chair,Furniture,3,8500,5,425.0,24225.0,Cash,Pending
ORD-0032,2026-05-21,Bhavika Sampath,mdubey@example.com,Hyderabad,Headphones,Electronics,1,2999,0,0.0,2999.0,UPI,Completed
ORD-0033,2025-08-19,Darsh Murthy,bedivansha@example.net,Hyderabad,Laptop,Electronics,5,55000,10,5500.0,247500.0,Net Banking,Completed
ORD-0034,2026-05-19,Dakshesh Trivedi,grewalekapad@example.net,Delhi,Laptop,Electronics,1,55000,15,8250.0,46750.0,Credit Card,Completed
ORD-0035,2025-06-22,Netra Dar,balveerbumb@example.com,Hyderabad,Laptop,Electronics,3,55000,0,0.0,165000.0,Debit Card,Returned
